CH1;CH2;PPG
99.034164;60.82157;574.1242
98.98103;60.794605;574.1259
98.98102;60.797295;574.1262
99.00226;60.80829;574.1269
99.01249;60.820377;574.12836
99.02634;60.837997;574.1305
98.99435;60.806313;574.1334
98.987045;60.7921;574.1362
99.01397;60.81585;574.13556
99.035515;60.835537;574.13477
99.03661;60.845055;574.13776
99.035614;60.83828;574.13837
99.02168;60.81549;574.1404
99.00329;60.79565;574.1439
99.01744;60.819016;574.1444
99.03623;60.847866;574.1452
99.03089;60.846794;574.14764
99.04973;60.85633;574.1463
99.064224;60.86804;574.14777
99.07989;60.882557;574.14886
99.05743;60.85552;574.14954
99.04074;60.82014;574.15546
99.01683;60.776817;574.15204
99.0148;60.79017;574.15076
99.01082;60.802063;574.1554
99.01461;60.816845;574.15436
99.041595;60.84267;574.15314
99.08888;60.889565;574.1535
99.080864;60.86682;574.15533
99.03611;60.83251;574.1542
99.0191;60.822926;574.1514
99.03428;60.823975;574.14935
99.02298;60.81687;574.1512
99.02022;60.81704;574.1573
99.04835;60.838398;574.1537
99.07172;60.869946;574.15063
99.04615;60.84231;574.15094
99.07998;60.863125;574.1525
99.02782;60.81177;574.15955
98.9952;60.780037;574.1552
98.990814;60.78385;574.1519
99.001976;60.811005;574.1474
99.0303;60.848152;574.1468
99.0594;60.873425;574.1457
99.048965;60.87588;574.1463
99.04009;60.87927;574.14246
99.0195;60.85604;574.14056
99.04739;60.883007;574.137
99.07047;60.913883;574.13477
99.0915;60.946213;574.1332
99.099205;60.967194;574.13196
99.08048;60.985672;574.1309
99.05595;60.986217;574.1287
99.065895;60.998928;574.12994
99.0684;60.994373;574.1368
99.06244;60.985363;574.1416
99.08037;60.992134;574.14844
99.06899;60.961853;574.1342
99.0443;60.949314;574.12476
99.047295;60.946026;574.1233
99.02522;60.934055;574.1246
99.05598;60.942924;574.1221
99.06742;60.943447;574.12103
99.04623;60.92747;574.11804
99.050896;60.92306;574.1184
99.03461;60.920055;574.1138
99.10494;60.99814;574.1216
99.124405;61.022797;574.11383
99.124596;61.02501;574.10706
99.089714;61.005795;574.1023
99.11386;61.01297;574.10236
99.09455;60.97058;574.10236
99.07405;60.92595;574.0969
99.01744;60.88358;574.0944
99.030556;60.88685;574.09357
99.01959;60.886395;574.0957
98.99483;60.861645;574.09607
98.988335;60.858288;574.0899
99.00512;60.888756;574.0832
98.98464;60.87416;574.0807
98.92999;60.804832;574.0789
98.94845;60.7905;574.0778
99.012535;60.847485;574.0768
99.047676;60.8745;574.07465
99.01831;60.82989;574.0751
99.02374;60.840237;574.07294
99.04246;60.85609;574.0684
99.0858;60.865032;574.06714
99.074425;60.847675;574.06696
99.055336;60.822117;574.0663
99.007;60.77324;574.0669
99.06344;60.82567;574.0652
99.11305;60.86143;574.0588
99.086494;60.856567;574.06006
99.02038;60.793865;574.0584
99.003426;60.777603;574.0557
99.01974;60.778725;574.0561
99.04009;60.77939;574.0548
99.03542;60.784924;574.0514
99.00944;60.782112;574.0501
99.04544;60.80476;574.0495
99.04746;60.79992;574.0472
99.01358;60.7705;574.0458
98.99435;60.76151;574.04297
99.021;60.797535;574.0428
99.011536;60.784973;574.0395
98.99759;60.75748;574.0384
98.97134;60.74599;574.03735
98.98257;60.7597;574.03516
98.97892;60.754116;574.0356
98.9931;60.756195;574.03406
98.97877;60.7503;574.0345
98.96962;60.743847;574.0325
99.00774;60.774384;574.03265
99.048706;60.811123;574.02936
99.01051;60.779438;574.0272
98.98247;60.763084;574.02576
98.978516;60.772118;574.0246
99.015465;60.83473;574.0255
99.0641;60.864605;574.0227
99.07114;60.859837;574.02466
99.06332;60.835564;574.0202
99.08175;60.83046;574.0158
99.13144;60.881695;574.0148
99.16715;61.008442;574.0137
